fecha_hora,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,fecha,hora,dia_semana,viene_de_10m,viene_de_100m,viene_de_10m_detalle,viene_de_100m_detalle,va_hacia_10m,va_hacia_100m
2026-09-12 00:00:00,3.362677,5.796447,344.47583,306.15826,2026-09-12,0,Saturday,Norte,Noroeste,Nornoroeste,Noroeste,Sur,Sureste
2026-09-12 01:00:00,3.0652895,3.572898,3.3664,319.0857,2026-09-12,1,Saturday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-09-12 02:00:00,2.52,2.9301877,360.0,312.5104,2026-09-12,2,Saturday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-09-12 03:00:00,4.143911,4.510787,2.4894993,331.38962,2026-09-12,3,Saturday,Norte,Noroeste,Norte,Nornoroeste,Sur,Sureste
2026-09-12 04:00:00,5.5829024,5.8603754,1.8475709,349.3804,2026-09-12,4,Saturday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-12 05:00:00,6.2999997,5.9399996,360.0,360.0,2026-09-12,5,Saturday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-12 06:00:00,6.924738,7.7420926,351.02744,342.40747,2026-09-12,6,Saturday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-12 07:00:00,7.0015144,9.165871,342.03076,340.49747,2026-09-12,7,Saturday,Norte,Norte,Nornoroeste,Nornoroeste,Sur,Sur
2026-09-12 08:00:00,2.7238941,3.9640884,277.59454,309.47244,2026-09-12,8,Saturday,Oeste,Noroeste,Oeste,Noroeste,Este,Sureste
2026-09-12 09:00:00,5.1826253,5.4833565,200.32323,203.19862,2026-09-12,9,Saturday,Sur,Suroeste,Sursuroeste,Sursuroeste,Norte,Noreste
2026-09-12 10:00:00,7.3799996,8.581677,192.68037,189.65982,2026-09-12,10,Saturday,Sur,Sur,Sursuroeste,Sur,Norte,Norte
2026-09-12 11:00:00,11.620809,13.943901,196.18927,191.16484,2026-09-12,11,Saturday,Sur,Sur,Sursuroeste,Sur,Norte,Norte
2026-09-12 12:00:00,12.800265,16.208996,183.22446,181.9091,2026-09-12,12,Saturday,Sur,Sur,Sur,Sur,Norte,Norte
2026-09-12 13:00:00,10.717182,13.346729,187.72174,190.09744,2026-09-12,13,Saturday,Sur,Sur,Sur,Sur,Norte,Norte
2026-09-12 14:00:00,10.261579,13.207634,195.25517,197.44728,2026-09-12,14,Saturday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-12 15:00:00,8.669949,11.200571,221.63345,224.9999,2026-09-12,15,Saturday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-12 16:00:00,8.320986,11.032987,231.14662,236.3099,2026-09-12,16,Saturday,Suroeste,Suroeste,Suroeste,Oestesuroeste,Noreste,Noreste
2026-09-12 17:00:00,7.42159,10.086427,230.90614,235.17543,2026-09-12,17,Saturday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-12 18:00:00,4.6452556,7.5019197,234.46223,239.74365,2026-09-12,18,Saturday,Suroeste,Suroeste,Suroeste,Oestesuroeste,Noreste,Noreste
2026-09-12 19:00:00,0.25455844,2.8460495,224.9999,235.30478,2026-09-12,19,Saturday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-12 20:00:00,3.710795,5.896202,140.90616,102.33907,2026-09-12,20,Saturday,Sureste,Este,Sureste,Estesureste,Noroeste,Oeste
2026-09-12 21:00:00,1.3708391,0.6489992,23.198618,303.6901,2026-09-12,21,Saturday,Noreste,Noroeste,Nornoreste,Oestenoroeste,Suroeste,Sureste
2026-09-12 22:00:00,3.964089,7.3799996,357.3975,12.680387,2026-09-12,22,Saturday,Norte,Norte,Norte,Nornoreste,Sur,Sur
2026-09-12 23:00:00,1.6299692,2.52,353.6599,270.0,2026-09-12,23,Saturday,Norte,Oeste,Norte,Oeste,Sur,Este
2026-09-13 00:00:00,2.0523157,3.9763298,344.7448,275.19434,2026-09-13,0,Sunday,Norte,Oeste,Nornoroeste,Oeste,Sur,Este
2026-09-13 01:00:00,4.0249224,5.3999996,349.69522,323.13004,2026-09-13,1,Sunday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-09-13 02:00:00,3.0811036,3.8521678,353.29025,307.40543,2026-09-13,2,Sunday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-09-13 03:00:00,2.1674871,3.381893,355.23645,295.20108,2026-09-13,3,Sunday,Norte,Noroeste,Norte,Oestenoroeste,Sur,Sureste
2026-09-13 04:00:00,4.7110505,5.815978,353.41815,338.19852,2026-09-13,4,Sunday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
