fecha_hora,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,fecha,hora,dia_semana,viene_de_10m,viene_de_100m,viene_de_10m_detalle,viene_de_100m_detalle,va_hacia_10m,va_hacia_100m
2026-06-30 00:00:00,2.2457917,3.7552607,273.81204,244.62128,2026-06-30,0,Tuesday,Oeste,Suroeste,Oeste,Oestesuroeste,Este,Noreste
2026-06-30 01:00:00,2.8404045,6.426212,46.227364,75.55705,2026-06-30,1,Tuesday,Noreste,Este,Noreste,Estenoreste,Suroeste,Oeste
2026-06-30 02:00:00,3.0900512,6.5182304,54.624275,70.91794,2026-06-30,2,Tuesday,Noreste,Este,Noreste,Estenoreste,Suroeste,Oeste
2026-06-30 03:00:00,2.9313934,5.031452,187.63316,198.63716,2026-06-30,3,Tuesday,Sur,Sur,Sur,Sursuroeste,Norte,Norte
2026-06-30 04:00:00,3.3318815,5.15966,349.68747,318.6004,2026-06-30,4,Tuesday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-06-30 05:00:00,2.6922967,3.6881433,291.9119,302.5622,2026-06-30,5,Tuesday,Oeste,Noroeste,Oestenoroeste,Oestenoroeste,Este,Sureste
2026-06-30 06:00:00,3.3924599,3.8870912,122.88286,202.0626,2026-06-30,6,Tuesday,Sureste,Sur,Estesureste,Sursuroeste,Noroeste,Norte
2026-06-30 07:00:00,2.8259542,2.7251074,125.13526,169.78273,2026-06-30,7,Tuesday,Sureste,Sur,Sureste,Sur,Noroeste,Norte
2026-06-30 08:00:00,2.2037292,3.1492314,219.7471,234.86761,2026-06-30,8,Tuesday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-06-30 09:00:00,6.318457,7.6630545,197.60217,197.54205,2026-06-30,9,Tuesday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-06-30 10:00:00,9.51697,11.702496,189.59901,187.34926,2026-06-30,10,Tuesday,Sur,Sur,Sur,Sur,Norte,Norte
